No,Tahun,Kode Provinsi,Provinsi,Kelompok Bahan Pangan,Komoditas,Konsumsi_Pangan,
152,2018,15,Jambi,Pangan Hewani,Ikan,22.8,
153,2018,15,Jambi,Minyak dan Lemak,Minyak dan Lemak,12.4,
154,2018,15,Jambi,Minyak dan Lemak,Minyak Kelapa,0.9,
155,2018,15,Jambi,Minyak dan Lemak,Minyak Sawit,11.2,
156,2018,15,Jambi,Minyak dan Lemak,Minyak Lainnya,0.3,
157,2018,15,Jambi,Buah/biji berminyak,Buah/biji berminyak,1.8,
158,2018,15,Jambi,Buah/biji berminyak,Kelapa,1.7,
159,2018,15,Jambi,Buah/biji berminyak,Kemiri,0.1,
160,2018,15,Jambi,Kacang-kacangan,Kacang-kacangan,6.6,
161,2018,15,Jambi,Kacang-kacangan,Kedelai,6,
162,2018,15,Jambi,Kacang-kacangan,Kacang tanah,0.2,
163,2018,15,Jambi,Kacang-kacangan,Kacang hijau,0.2,
164,2018,15,Jambi,Kacang-kacangan,Kacang lain,0.2,
165,2018,15,Jambi,Gula,Gula,9.2,
166,2018,15,Jambi,Gula,Gula pasir,9,
167,2018,15,Jambi,Gula,Gula merah,0.2,
168,2018,15,Jambi,Sayuran dan buah,Sayuran dan buah,85.5,
169,2018,15,Jambi,Sayuran dan buah,Sayur,54.9,
170,2018,15,Jambi,Sayuran dan buah,Buah,30.6,
171,2018,16,Sumatera Selatan,Padi-Padian,Padi-padian,113.2,
172,2018,16,Sumatera Selatan,Padi-Padian,Beras,93.3,
173,2018,16,Sumatera Selatan,Padi-Padian,Jagung,0.4,
174,2018,16,Sumatera Selatan,Padi-Padian,Terigu,19.5,
175,2018,16,Sumatera Selatan,Umbi-umbian,Umbi-umbian,14.2,
176,2018,16,Sumatera Selatan,Umbi-umbian,Singkong,8.9,
177,2018,16,Sumatera Selatan,Umbi-umbian,Ubi Jalar,2.5,
178,2018,16,Sumatera Selatan,Umbi-umbian,Kentang,2,
179,2018,16,Sumatera Selatan,Umbi-umbian,Sagu,0.6,
180,2018,16,Sumatera Selatan,Umbi-umbian,Umbi Lainnya,0.2,
181,2018,16,Sumatera Selatan,Pangan Hewani,Pangan Hewani,46.6,
182,2018,16,Sumatera Selatan,Pangan Hewani,Daging ruminansia,4.2,
183,2018,16,Sumatera Selatan,Pangan Hewani,Daging Unggas,7.2,
184,2018,16,Sumatera Selatan,Pangan Hewani,Telur,7.7,
185,2018,16,Sumatera Selatan,Pangan Hewani,Susu,3,
186,2018,16,Sumatera Selatan,Pangan Hewani,Ikan,24.5,
187,2018,16,Sumatera Selatan,Minyak dan Lemak,Minyak dan Lemak,10,
188,2018,16,Sumatera Selatan,Minyak dan Lemak,Minyak Kelapa,0.6,
189,2018,16,Sumatera Selatan,Minyak dan Lemak,Minyak Sawit,9.3,
190,2018,16,Sumatera Selatan,Minyak dan Lemak,Minyak Lainnya,0.1,
191,2018,16,Sumatera Selatan,Buah/biji berminyak,Buah/biji berminyak,0.8,
192,2018,16,Sumatera Selatan,Buah/biji berminyak,Kelapa,0.7,
193,2018,16,Sumatera Selatan,Buah/biji berminyak,Kemiri,0.1,
194,2018,16,Sumatera Selatan,Kacang-kacangan,Kacang-kacangan,7.2,
195,2018,16,Sumatera Selatan,Kacang-kacangan,Kedelai,6.8,
196,2018,16,Sumatera Selatan,Kacang-kacangan,Kacang tanah,0.1,
197,2018,16,Sumatera Selatan,Kacang-kacangan,Kacang hijau,0.2,
198,2018,16,Sumatera Selatan,Kacang-kacangan,Kacang lain,0.1,
199,2018,16,Sumatera Selatan,Gula,Gula,10.4,
200,2018,16,Sumatera Selatan,Gula,Gula pasir,9.9,
201,2018,16,Sumatera Selatan,Gula,Gula merah,0.5,
202,2018,16,Sumatera Selatan,Sayuran dan buah,Sayuran dan buah,95.9,
203,2018,16,Sumatera Selatan,Sayuran dan buah,Sayur,52.8,
204,2018,16,Sumatera Selatan,Sayuran dan buah,Buah,43.1,
205,2018,17,Bengkulu,Padi-Padian,Padi-padian,119.2,
206,2018,17,Bengkulu,Padi-Padian,Beras,103.3,
207,2018,17,Bengkulu,Padi-Padian,Jagung,0.8,
208,2018,17,Bengkulu,Padi-Padian,Terigu,15.1,
209,2018,17,Bengkulu,Umbi-umbian,Umbi-umbian,13.8,
210,2018,17,Bengkulu,Umbi-umbian,Singkong,6.9,
211,2018,17,Bengkulu,Umbi-umbian,Ubi Jalar,2.7,
212,2018,17,Bengkulu,Umbi-umbian,Kentang,3.5,
213,2018,17,Bengkulu,Umbi-umbian,Sagu,0.1,
214,2018,17,Bengkulu,Umbi-umbian,Umbi Lainnya,0.6,
215,2018,17,Bengkulu,Pangan Hewani,Pangan Hewani,40.5,
216,2018,17,Bengkulu,Pangan Hewani,Daging ruminansia,2.7,
217,2018,17,Bengkulu,Pangan Hewani,Daging Unggas,7.1,
218,2018,17,Bengkulu,Pangan Hewani,Telur,7,
219,2018,17,Bengkulu,Pangan Hewani,Susu,2.6,
220,2018,17,Bengkulu,Pangan Hewani,Ikan,21.1,
221,2018,17,Bengkulu,Minyak dan Lemak,Minyak dan Lemak,11, 
222,2018,17,Bengkulu,Minyak dan Lemak,Minyak Kelapa,0.7,
223,2018,17,Bengkulu,Minyak dan Lemak,Minyak Sawit,9.9,
224,2018,17,Bengkulu,Minyak dan Lemak,Minyak Lainnya,0.4,
225,2018,17,Bengkulu,Buah/biji berminyak,Buah/biji berminyak,4,
226,2018,17,Bengkulu,Buah/biji berminyak,Kelapa,3.9,
227,2018,17,Bengkulu,Buah/biji berminyak,Kemiri,0.1,
228,2018,17,Bengkulu,Kacang-kacangan,Kacang-kacangan,6.3,
229,2018,17,Bengkulu,Kacang-kacangan,Kedelai,5.7,
230,2018,17,Bengkulu,Kacang-kacangan,Kacang tanah,0.2,
231,2018,17,Bengkulu,Kacang-kacangan,Kacang hijau,0.2,
232,2018,17,Bengkulu,Kacang-kacangan,Kacang lain,0.2,
233,2018,17,Bengkulu,Gula,Gula,8.3,
234,2018,17,Bengkulu,Gula,Gula pasir,7.7,
235,2018,17,Bengkulu,Gula,Gula merah,0.6,
236,2018,17,Bengkulu,Sayuran dan buah,Sayuran dan buah,97.7,
237,2018,17,Bengkulu,Sayuran dan buah,Sayur,61.2,
238,2018,17,Bengkulu,Sayuran dan buah,Buah,36.5,
239,2018,18,Lampung,Padi-Padian,Padi-padian,106.6,
240,2018,18,Lampung,Padi-Padian,Beras,89.6,
241,2018,18,Lampung,Padi-Padian,Jagung,0.4,
242,2018,18,Lampung,Padi-Padian,Terigu,16.6,
243,2018,18,Lampung,Umbi-umbian,Umbi-umbian,13.2,
244,2018,18,Lampung,Umbi-umbian,Singkong,9.9,
245,2018,18,Lampung,Umbi-umbian,Ubi Jalar,2.1,
246,2018,18,Lampung,Umbi-umbian,Kentang,0.9,
247,2018,18,Lampung,Umbi-umbian,Sagu,0.1,
248,2018,18,Lampung,Umbi-umbian,Umbi Lainnya,0.3,
249,2018,18,Lampung,Pangan Hewani,Pangan Hewani,37.8,
250,2018,18,Lampung,Pangan Hewani,Daging ruminansia,3.4,
251,2018,18,Lampung,Pangan Hewani,Daging Unggas,5.1,
252,2018,18,Lampung,Pangan Hewani,Telur,7.5,
253,2018,18,Lampung,Pangan Hewani,Susu,2.6,
254,2018,18,Lampung,Pangan Hewani,Ikan,19.1,
255,2018,18,Lampung,Minyak dan Lemak,Minyak dan Lemak,11.8,
256,2018,18,Lampung,Minyak dan Lemak,Minyak Kelapa,0.6,
257,2018,18,Lampung,Minyak dan Lemak,Minyak Sawit,11,
258,2018,18,Lampung,Minyak dan Lemak,Minyak Lainnya,0.2,
259,2018,18,Lampung,Buah/biji berminyak,Buah/biji berminyak,1.8,
260,2018,18,Lampung,Buah/biji berminyak,Kelapa,1.6,
261,2018,18,Lampung,Buah/biji berminyak,Kemiri,0.2,
262,2018,18,Lampung,Kacang-kacangan,Kacang-kacangan,11.3,
263,2018,18,Lampung,Kacang-kacangan,Kedelai,10.8,
264,2018,18,Lampung,Kacang-kacangan,Kacang tanah,0.2,
265,2018,18,Lampung,Kacang-kacangan,Kacang hijau,0.2,
266,2018,18,Lampung,Kacang-kacangan,Kacang lain,0.1,
267,2018,18,Lampung,Gula,Gula,8.6,
268,2018,18,Lampung,Gula,Gula pasir,7.6,
269,2018,18,Lampung,Gula,Gula merah,1,
270,2018,18,Lampung,Sayuran dan buah,Sayuran dan buah,113.3,
271,2018,18,Lampung,Sayuran dan buah,Sayur,62.2,
272,2018,18,Lampung,Sayuran dan buah,Buah,51.1,
273,2018,19,Kepulauan Bangka Belitung,Padi-Padian,Padi-padian,107.2,
274,2018,19,Kepulauan Bangka Belitung,Padi-Padian,Beras,89.2,
275,2018,19,Kepulauan Bangka Belitung,Padi-Padian,Jagung,0.4,
276,2018,19,Kepulauan Bangka Belitung,Padi-Padian,Terigu,17.7,
277,2018,19,Kepulauan Bangka Belitung,Umbi-umbian,Umbi-umbian,12.2,
278,2018,19,Kepulauan Bangka Belitung,Umbi-umbian,Singkong,7.5,
279,2018,19,Kepulauan Bangka Belitung,Umbi-umbian,Ubi Jalar,1.3,
280,2018,19,Kepulauan Bangka Belitung,Umbi-umbian,Kentang,1.6,
281,2018,19,Kepulauan Bangka Belitung,Umbi-umbian,Sagu,1,
282,2018,19,Kepulauan Bangka Belitung,Umbi-umbian,Umbi Lainnya,0.7,
283,2018,19,Kepulauan Bangka Belitung,Pangan Hewani,Pangan Hewani,62.3,
284,2018,19,Kepulauan Bangka Belitung,Pangan Hewani,Daging ruminansia,4.8,
285,2018,19,Kepulauan Bangka Belitung,Pangan Hewani,Daging Unggas,10.7,
286,2018,19,Kepulauan Bangka Belitung,Pangan Hewani,Telur,7.9,
287,2018,19,Kepulauan Bangka Belitung,Pangan Hewani,Susu,4.2,
288,2018,19,Kepulauan Bangka Belitung,Pangan Hewani,Ikan,34.7,
289,2018,19,Kepulauan Bangka Belitung,Minyak dan Lemak,Minyak dan Lemak,9.7,
290,2018,19,Kepulauan Bangka Belitung,Minyak dan Lemak,Minyak Kelapa,0.5,
291,2018,19,Kepulauan Bangka Belitung,Minyak dan Lemak,Minyak Sawit,9.1,
292,2018,19,Kepulauan Bangka Belitung,Minyak dan Lemak,Minyak Lainnya,0.1,
293,2018,19,Kepulauan Bangka Belitung,Buah/biji berminyak,Buah/biji berminyak,1,
294,2018,19,Kepulauan Bangka Belitung,Buah/biji berminyak,Kelapa,0.6,
295,2018,19,Kepulauan Bangka Belitung,Buah/biji berminyak,Kemiri,0.4,
296,2018,19,Kepulauan Bangka Belitung,Kacang-kacangan,Kacang-kacangan,4.9,
297,2018,19,Kepulauan Bangka Belitung,Kacang-kacangan,Kedelai,4.6,
298,2018,19,Kepulauan Bangka Belitung,Kacang-kacangan,Kacang tanah,0.1,
299,2018,19,Kepulauan Bangka Belitung,Kacang-kacangan,Kacang hijau,0.1,
300,2018,19,Kepulauan Bangka Belitung,Kacang-kacangan,Kacang lain,0.1,
301,2018,19,Kepulauan Bangka Belitung,Gula,Gula,9.5,
302,2018,19,Kepulauan Bangka Belitung,Gula,Gula pasir,9.2,
303,2018,19,Kepulauan Bangka Belitung,Gula,Gula merah,0.3,
304,2018,19,Kepulauan Bangka Belitung,Sayuran dan buah,Sayuran dan buah,73.5,
305,2018,19,Kepulauan Bangka Belitung,Sayuran dan buah,Sayur,40.4,
306,2018,19,Kepulauan Bangka Belitung,Sayuran dan buah,Buah,33.1,
307,2018,21,Kepulauan Riau,Padi-Padian,Padi-padian,108.2,
308,2018,21,Kepulauan Riau,Padi-Padian,Beras,89.2,
309,2018,21,Kepulauan Riau,Padi-Padian,Jagung,0.5,
310,2018,21,Kepulauan Riau,Padi-Padian,Terigu,18.5,
311,2018,21,Kepulauan Riau,Umbi-umbian,Umbi-umbian,12.7,
312,2018,21,Kepulauan Riau,Umbi-umbian,Singkong,7.1,
313,2018,21,Kepulauan Riau,Umbi-umbian,Ubi Jalar,1.4,
314,2018,21,Kepulauan Riau,Umbi-umbian,Kentang,3.7,
315,2018,21,Kepulauan Riau,Umbi-umbian,Sagu,0.3,
316,2018,21,Kepulauan Riau,Umbi-umbian,Umbi Lainnya,0.2,
317,2018,21,Kepulauan Riau,Pangan Hewani,Pangan Hewani,60.3,
318,2018,21,Kepulauan Riau,Pangan Hewani,Daging ruminansia,4.2,
319,2018,21,Kepulauan Riau,Pangan Hewani,Daging Unggas,10.9,
320,2018,21,Kepulauan Riau,Pangan Hewani,Telur,9.3,
321,2018,21,Kepulauan Riau,Pangan Hewani,Susu,4.6,
322,2018,21,Kepulauan Riau,Pangan Hewani,Ikan,31.3,
323,2018,21,Kepulauan Riau,Minyak dan Lemak,Minyak dan Lemak,12.3,
324,2018,21,Kepulauan Riau,Minyak dan Lemak,Minyak Kelapa,1,
325,2018,21,Kepulauan Riau,Minyak dan Lemak,Minyak Sawit,10.3,
326,2018,21,Kepulauan Riau,Minyak dan Lemak,Minyak Lainnya,1,
327,2018,21,Kepulauan Riau,Buah/biji berminyak,Buah/biji berminyak,1.2,
328,2018,21,Kepulauan Riau,Buah/biji berminyak,Kelapa,1,
329,2018,21,Kepulauan Riau,Buah/biji berminyak,Kemiri,0.1,
330,2018,21,Kepulauan Riau,Kacang-kacangan,Kacang-kacangan,6.4,
331,2018,21,Kepulauan Riau,Kacang-kacangan,Kedelai,5.6,
332,2018,21,Kepulauan Riau,Kacang-kacangan,Kacang tanah,0.4,
333,2018,21,Kepulauan Riau,Kacang-kacangan,Kacang hijau,0.3,
334,2018,21,Kepulauan Riau,Kacang-kacangan,Kacang lain,0.1,
335,2018,21,Kepulauan Riau,Gula,Gula,8.9,
336,2018,21,Kepulauan Riau,Gula,Gula pasir,8.7,
337,2018,21,Kepulauan Riau,Gula,Gula merah,0.2,
338,2018,21,Kepulauan Riau,Sayuran dan buah,Sayuran dan buah,73.8,
339,2018,21,Kepulauan Riau,Sayuran dan buah,Sayur,46,
340,2018,21,Kepulauan Riau,Sayuran dan buah,Buah,27.9,
341,2018,31,DKI Jakarta,Padi-Padian,Padi-padian,117.8,
342,2018,31,DKI Jakarta,Padi-Padian,Beras,94.9,
343,2018,31,DKI Jakarta,Padi-Padian,Jagung,0.8,
344,2018,31,DKI Jakarta,Padi-Padian,Terigu,22.1,
345,2018,31,DKI Jakarta,Umbi-umbian,Umbi-umbian,14,
346,2018,31,DKI Jakarta,Umbi-umbian,Singkong,7.7,
347,2018,31,DKI Jakarta,Umbi-umbian,Ubi Jalar,1.7,
348,2018,31,DKI Jakarta,Umbi-umbian,Kentang,4.4,
349,2018,31,DKI Jakarta,Umbi-umbian,Sagu,0.1,
350,2018,31,DKI Jakarta,Umbi-umbian,Umbi Lainnya,0.1,
351,2018,31,DKI Jakarta,Pangan Hewani,Pangan Hewani,58.5,
352,2018,31,DKI Jakarta,Pangan Hewani,Daging ruminansia,7.7,
353,2018,31,DKI Jakarta,Pangan Hewani,Daging Unggas,11.3,
354,2018,31,DKI Jakarta,Pangan Hewani,Telur,9,
355,2018,31,DKI Jakarta,Pangan Hewani,Susu,6.4,
356,2018,31,DKI Jakarta,Pangan Hewani,Ikan,24.1,
357,2018,31,DKI Jakarta,Minyak dan Lemak,Minyak dan Lemak,10,
358,2018,31,DKI Jakarta,Minyak dan Lemak,Minyak Kelapa,0.9,
359,2018,31,DKI Jakarta,Minyak dan Lemak,Minyak Sawit,8.7,
360,2018,31,DKI Jakarta,Minyak dan Lemak,Minyak Lainnya,0.4,
361,2018,31,DKI Jakarta,Buah/biji berminyak,Buah/biji berminyak,11.7,
362,2018,31,DKI Jakarta,Buah/biji berminyak,Kelapa,0.3,
363,2018,31,DKI Jakarta,Buah/biji berminyak,Kemiri,0.2,
364,2018,31,DKI Jakarta,Kacang-kacangan,Kacang-kacangan,11.2,
365,2018,31,DKI Jakarta,Kacang-kacangan,Kedelai,1.4,
366,2018,31,DKI Jakarta,Kacang-kacangan,Kacang tanah,0.3,
367,2018,31,DKI Jakarta,Kacang-kacangan,Kacang hijau,1,
